Artifact_ID,Artifact_Name,Museum_ID,Gallery_No,Period_Dating,Finding_Place,Dimension_ID,Provenance_Note,Description,Source_Link
969,Liberation War Artifacts — Kishoreganj Sector,28,Liberation War Gallery,1971 CE,Kishoreganj District,41,Donated by freedom fighters and families,"Liberation War artifacts and documentation from Kishoreganj district, including photographs of local freedom fighters, documents relating to resistance activities, and personal effects of local martyrs of the 1971 war. Kishoreganj, part of the greater Mymensingh region during the war, saw significant guerrilla resistance activity, with the haor landscape providing both challenges and strategic advantages for resistance fighters operating in difficult-to-access wetland terrain. The museum's Liberation War collection documents the specific local contribution of Kishoreganj's freedom fighters to the national independence struggle.",
970,Folk Musical Instruments — Haor Region Traditions,28,Cultural Heritage Gallery,19th–20th century CE,Kishoreganj District,41,Donated by folk musicians and cultural organizations,"Traditional musical instruments associated with the folk culture of the Kishoreganj haor region, including instruments used in bhatiyali (boatmen's songs) and other water-based musical traditions specific to communities whose lives are organized around the seasonal flooding cycle. The haor region's musical culture reflects its unique relationship to water: songs traditionally sung by fishermen, boatmen, and farmers navigating the transition between dry-season agriculture and wet-season boat travel. The collection includes a dotara, a dhol, and bamboo flutes used by haor-region folk performers.",
971,Agricultural Tools — Haor Farming Adaptation,28,Haor Heritage Gallery,19th–20th century CE,Kishoreganj District,41,Donated by farming families,"Agricultural tools specifically adapted to the haor farming cycle of Kishoreganj district, including a single-crop rice cultivation toolkit suited to the brief dry-season window when haor land is exposed for farming before the monsoon floods return. The tools include a specialized plough, harvesting implements designed for rapid use before flooding, and storage equipment for protecting the harvest from water damage. Haor agriculture is one of the most distinctive farming systems in Bangladesh, requiring precise timing and specialized knowledge to successfully grow a single annual boro rice crop in the brief window between flood seasons.",
972,Historical Photographs — Kishoreganj Town and Haor Landscape,28,Heritage Documentation Gallery,Late 19th – 20th century CE,Kishoreganj District,269,Kishoreganj District administration archives / donations,"Historical photographs documenting Kishoreganj town and the surrounding haor landscape across different seasons, showing the dramatic transformation of the district from a dry agricultural plain to a vast inland sea each monsoon. The photographs include images of the famous Nikli, Mithamoin, and Itna haor areas, traditional haor village architecture (homes built on elevated earthen platforms to survive flooding), and scenes of community life adapted to this unique hydrological cycle. The photographic collection documents one of Bangladesh's most visually striking and ecologically distinctive regional landscapes.",
973,Traditional Fishing Equipment — Haor Communities,28,Haor Heritage Gallery,Traditional (20th century),Kishoreganj haor basins,41,Donated by fishing communities,"Traditional fishing equipment used by Kishoreganj's haor-region fishing communities, including large seine nets for communal fishing during the flood season, bamboo fish traps, and specialized equipment for the rich seasonal fish harvest that the haors produce when they flood. Fishing in the haor region is both a subsistence activity for local communities and a significant commercial industry, with the flooded wetlands supporting large populations of native fish species. The collection documents the traditional ecological knowledge developed by generations of haor-region fishing communities to harvest this seasonal aquatic resource sustainably.",
974,Baul Instruments Collection — Lalon Tradition,26,Baul Heritage Gallery,Traditional (19th–20th century),Kushtia District (Chheuriya / Kumarkhali),289,Donated by baul community and Lalon Academy,"A collection of traditional baul musical instruments from the Kushtia region — the heartland of the baul tradition associated with the mystic poet Lalon Shah (1774–1890). The collection includes an ektara (one-string gourd lute), a dotara (two-string melody lute), a khamak (plucked drum), and a dugdugi (small hourglass drum). Kushtia is the center of Bangladesh's baul tradition, and its instruments are UNESCO-recognized Intangible Cultural Heritage. Lalon Shah's shrine at Chheuriya, Kumarkhali draws thousands of devotees annually. The museum's baul instrument collection celebrates Kushtia's identity as the spiritual capital of baul music and philosophy.",
975,Portrait and Memorabilia — Lalon Shah,26,Lalon Heritage Gallery,19th century CE (subject),"Chheuriya, Kumarkhali, Kushtia",290,Donated by Lalon Akademy and Kushtia cultural institutions,"A portrait and display of memorabilia associated with Lalon Shah (1774–1890) — Bangladesh's most celebrated mystic poet and baul philosopher, born and buried in Chheuriya, Kumarkhali, Kushtia District. Lalon's songs (Lalon geeti) are among the most profound expressions of Bengali spiritual philosophy, drawing on Hindu, Islamic, and Buddhist traditions while transcending all sectarian boundaries. He wrote over 2,000 songs exploring the relationship between the individual soul and the divine, challenging caste, religious prejudice, and social hierarchy. The museum's Lalon display complements the larger Lalon Academy (Lalon Akademy) in Chheuriya and serves as an introduction to the philosopher-poet for visitors to Kushtia town.",
976,Rabindranath Tagore Connection — Shilaidaha Documents,26,Literary Heritage Gallery,Late 19th – early 20th century CE,"Shilaidaha, Kushtia District",83,Donated by Kushtia cultural institutions / Tagore family archives,"Documents and photographs relating to Rabindranath Tagore's long association with Kushtia District — where his family owned the Shilaidaha Kuthibari estate (now a protected museum). Tagore spent extended periods at Shilaidaha between 1891 and 1901, managing his family's zamindari estate on the Padma River, and wrote some of his greatest poetry here, including most of Gitanjali (the collection that won him the 1913 Nobel Prize for Literature). The Kushtia Museum's Tagore collection complements the Shilaidaha Kuthibari Museum and situates Tagore's Kushtia years within the broader cultural history of the district. Photographs show the Shilaidaha house, the Padma River, and scenes of village life that inspired Tagore's work.",
977,Archaeological Finds — Kushtia Region,26,Archaeological Gallery,Various periods (ancient to medieval),Kushtia District excavations,41,Department of Archaeology / local donations,"Archaeological finds from the Kushtia region, including terracotta pottery, figurine fragments, ancient coins, and stone artifacts recovered from fields and river banks. The Kushtia District encompasses part of the ancient Gangetic Bengal delta where settlement has been continuous for millennia. The Mathabanga and Gorai rivers that flow through Kushtia were important ancient trade routes, and archaeological finds from their banks document the area's participation in the broader cultural traditions of Bengal from the ancient period through the Mughal era.",
978,Textile Heritage — Kushtia Weaving Tradition,26,Cultural Heritage Gallery,19th–20th century CE,Kushtia District,291,Donated by weaving community and cultural organizations,"Examples of traditional woven textiles from the Kushtia region, representing the district's craft heritage. The Kushtia-Rajshahi zone has a significant tradition of silk weaving, and the Jamdani tradition of fine cotton weaving has practitioners in the region. The textile samples displayed include both everyday cotton fabrics and more elaborate woven pieces, showing the range of the district's weaving tradition. The collection is displayed alongside information on the social organization of weaving communities and the impact of industrial textile production on traditional handloom weavers.",
979,Liberation War Documents — Kushtia Sector,26,Liberation War Gallery,1971 CE,Kushtia District,41,Donated by freedom fighters and families,"A collection of Liberation War artifacts and documents from Kushtia District. Kushtia has a notable place in the history of the Liberation War: it was one of the first places where Bangladesh Radio broadcast the independence declaration (from Kalurghat, though also relayed from Kushtia area), and the freedom fighters of the Kushtia-Jhenaidah area fought significant early actions against the Pakistani Army. The collection includes photographs of local freedom fighters, documents relating to liberation activities in the district, and personal effects of martyrs. The display is presented as a tribute to the freedom fighters of Kushtia and contextualizes the district's contribution to national independence.",
980,Traditional Household Objects — Kushtia Rural Life,26,Everyday Life Gallery,19th–20th century CE,Kushtia District villages,41,Donated by local families,"Traditional household objects from the rural villages of Kushtia District, including brass cooking vessels (handi, karahi), clay water pots (kalshi), bamboo grain storage containers (dhamer bhar), and wooden kitchen implements. These everyday objects represent the material culture of Bengali village life in the Kushtia region — the tools and vessels used for cooking, water storage, and food preparation in a typical rural household. The collection serves as a material history of domestic life in Kushtia, complementing the more famous cultural legacy of Lalon Shah and Kangal Harinath with a record of ordinary everyday life in the district.",
981,Mughal Miniature Paintings — Lalbagh Collection,29,Diwan-i-Aam Museum Gallery,17th–18th century CE (Mughal period),Mughal Bengal (acquired for Lalbagh Fort),292,"Department of Archaeology, Bangladesh","A collection of Mughal miniature paintings displayed in the Lalbagh Fort — the museum housed in the Hammam (bathhouse / bathing palace) attached to the Diwan-i-Aam of the fort. The paintings include court scenes, hunting scenes, and portrait studies in the Mughal painting tradition. Mughal miniature painting reached Bengal during the reign of Aurangzeb and his governors in Dhaka; the paintings displayed at Lalbagh represent the artistic culture of the court that built and occupied the fort. The Lalbagh Fort is described as housing Mughal-era artifacts including miniature paintings alongside coins, carpets, calligraphy, swords, and firearms.",
982,Mughal Calligraphy Panels,29,Diwan-i-Aam Museum Gallery,17th–18th century CE (Mughal period),Mughal Bengal,293,"Department of Archaeology, Bangladesh","Calligraphy panels in the Mughal tradition displayed in the Lalbagh Fort. The panels feature Arabic and Persian text in various calligraphic styles — naskh, nasta'liq, and thuluth — including Quranic verses, religious phrases, and possibly poetic verses. Calligraphy was the highest art form in the Islamic tradition, and Mughal governors and nobles patronized master calligraphers whose work decorated court buildings and movable artworks alike. The calligraphy panels at Lalbagh provide evidence of the artistic and literary culture of the 17th-century Mughal court in Bengal and complement the architectural calligraphy found on the Pari Bibi tomb within the fort complex.",
983,Mughal Swords and Firearms — Arms Collection,29,Diwan-i-Aam Museum Gallery,17th–18th century CE (Mughal period),Mughal Bengal military heritage,294,"Department of Archaeology, Bangladesh","A collection of Mughal-period swords and firearms displayed in the Lalbagh Fort. The swords include straight double-edged swords and curved single-edged swords (shamshir) of the Mughal cavalry type, with steel blades and hilts of iron or brass. The firearms include a flintlock musket and a matchlock pistol of the type carried by Mughal infantry and cavalry in the 17th–18th centuries. These weapons represent the military power of the Mughal governors of Bengal who built and occupied Lalbagh Fort. The fort was constructed by Prince Muhammad Azam (later Emperor) from 1678 during his governorship of Bengal, as a royal residence and administrative complex; military equipment was an essential element of such a compound.",
984,Mughal Coins — Bengal Mint Series,29,Diwan-i-Aam Museum Gallery,"17th century CE (Mughal period, Aurangzeb era)",Dhaka (Jahangirnagar) Mughal mint,295,Department of Archaeology / excavation finds,"Mughal coins from the Dhaka (Jahangirnagar) mint, displayed as numismatic evidence of Dhaka's importance as the Mughal provincial capital of Bengal. The coins bear the mint name 'Dar-ul-zarb Jahangirnagar' — confirming Dhaka's role as a major coin-producing center. Silver rupees, gold mohurs, and copper falus from the Aurangzeb period (1658–1707 CE) are the most relevant to the fort's construction period. These coins were the currency of the city that surrounded Lalbagh Fort and of the fort's own garrison and administration. The numismatic collection provides a direct material link to the economic life of 17th-century Dhaka.",
985,Pari Bibi Tomb Documentation — Architectural Survey,29,Architecture Heritage Gallery,17th century CE (tomb); documentation 20th century,"Lalbagh Fort compound, Old Dhaka",248,"Department of Archaeology, Bangladesh","Documentation and material samples relating to the Tomb of Pari Bibi (Bibi Pari) — the most architecturally significant structure within the Lalbagh Fort complex and one of the finest examples of Mughal architecture in Bangladesh. Pari Bibi was the daughter of Shaista Khan (the Mughal Subahdar of Bengal after Prince Azam's departure) and the fiancée of Prince Azam; she died during construction of the fort, and her death caused Shaista Khan to consider the fort inauspicious and abandon its completion. The tomb is a square structure with white marble cladding, black basalt detailing, and glazed tile mosaic floors. Material samples from the tomb — including marble and tile fragments — are displayed alongside photographs and architectural drawings.",
986,Mughal-Era Pottery and Ceramics,29,Diwan-i-Aam Museum Gallery,17th century CE,"Lalbagh Fort excavations, Old Dhaka",296,Archaeological excavation within fort compound,"Pottery and ceramic artifacts recovered from excavations within the Lalbagh Fort compound, including glazed earthenware bowls and Chinese-import celadon-type pieces that reflect the cosmopolitan material culture of the Mughal court in 17th-century Dhaka. The fort's occupation period (from 1678 onward) is well-documented by pottery, which provides evidence for the use of the different spaces within the fort complex. Chinese porcelain was imported to the Mughal court of Bengal in large quantities; fragments of these prestigious wares found in fort excavations confirm the elevated social status of the compound's inhabitants. The pottery collection complements the architectural and artifact displays in the museum.",
987,Mughal Textile Fragments — Carpet and Fabric,29,Diwan-i-Aam Museum Gallery,17th–18th century CE,Mughal Bengal,297,"Department of Archaeology, Bangladesh","Textile fragments including a carpet fragment and silk fabric samples from the Mughal period, displayed as evidence of the luxurious material culture of the Mughal court in Bengal. Mughal carpets — woven in Persia, Central Asia, and later in imperial Indian workshops — were essential furnishings of Mughal royal and administrative buildings. The Diwan-i-Aam (Hall of Public Audience) at Lalbagh Fort, where the governor held public court, would have been furnished with carpets and fine textiles. The fragments displayed provide evidence of the textile culture of the 17th-century Mughal court in Dhaka and complement the miniature paintings and calligraphy in presenting a picture of the court's artistic life.",
988,Hammam (Bathhouse) Architecture Documentation,29,Architecture Heritage Gallery,17th century CE (original); documentation 20th century,"Hammam, Lalbagh Fort, Old Dhaka",298,"Department of Archaeology, Bangladesh","Documentation of the Hammam (Turkish-style bathhouse) that houses the Lalbagh Fort — described as 'the only structure within Lalbagh Fort that is fully accessible to visitors.' The Hammam is a single-storied structure attached to the west of the Diwan-i-Aam, built in the Mughal period as a private bathing facility for the governor and court. It features the characteristic Mughal hammam layout with heated floors (through a hypocaust system), a dressing room, and bathing chambers. Documentation includes measured drawings of the floor plan, photographs of the interior before and after conservation, and samples of the original tile and plaster finishes. The Hammam is a rare surviving example of Mughal domestic architecture in Bangladesh.",
989,Fort Construction History Display — Prince Muhammad Azam,29,Fort History Gallery,17th century CE (construction started 1678),"Lalbagh Fort, Old Dhaka",248,"Department of Archaeology, Bangladesh","An educational display documenting the construction history of Lalbagh Fort — begun in 1678 CE by Prince Muhammad Azam, son of Mughal Emperor Aurangzeb, during his governorship of Bengal. The fort (also known as Fort Aurangabad) was intended to be a royal residence and administrative complex but was left unfinished when Azam was recalled to the Deccan by his father. His successor Shaista Khan abandoned the project after the death of his daughter Pari Bibi, considering the fort inauspicious. The display includes maps of the fort's layout, architectural plans, photographs of all major structures (Diwan-i-Aam, Pari Bibi's Tomb, the Three-Domed Mosque), and a timeline of the fort's construction and subsequent history as a protected monument.",
990,Shaista Khan Administration Documents (Replica),29,Fort History Gallery,17th century CE (Shaista Khan's governorship 1664–1688),Mughal Bengal administration,299,Department of Archaeology / historical archives,"Replica documents from the governorship of Shaista Khan (1664–1688) — the most celebrated of the Mughal Subahdars of Bengal and the administrator who continued work at Lalbagh Fort after Prince Azam's departure. Shaista Khan's governorship is remembered as a golden age for Dhaka: he reportedly reduced the price of rice to such a low level that it became a proverb ('Shaista Khaner amol' — the age of Shaista Khan — means a time of prosperity). He also built the Choto Katra caravanserai, the Sat Gambuj Mosque, and extended Dhaka's defenses. The documents include facsimiles of imperial farmans (orders), revenue records, and correspondence that illuminate the administration of Mughal Bengal from Dhaka.",
991,Eternal Flame (Shikha Chirantan) — Entrance Monument,30,Museum Entrance,Established 1996 CE (original site); relocated to new building,"Liberation War Museum entrance, Agargaon, Dhaka",300,Liberation War Museum Trust,"The Eternal Flame (Shikha Chirantan) burns continuously at the entrance of the Liberation War Museum, accompanied by a stone inscription bearing the museum's founding vow: 'In the name of the moon and sun on the sky, in the name of the blood-stained soil of Bengal, we vow not to forget any of our martyrs, any event of our history.' The flame is the symbolic threshold of the museum, marking the transition from ordinary city life into the solemn commemorative space dedicated to the approximately three million people who died and the untold numbers who suffered during the nine-month Liberation War of 1971. It has burned continuously since the museum's original 1996 inauguration at Segunbagicha.",https://en.wikipedia.org/wiki/Liberation_War_Museum
992,Gallery of Heroes — Martyred Intellectuals Exhibit,30,Gallery of Heroes,1971 CE (events); ongoing exhibit,"Various locations, Dhaka and across Bangladesh",301,Donated by families of martyred intellectuals,"An exhibit dedicated to the Martyred Intellectuals of 1971 — the systematic killing of Bengali doctors, professors, writers, journalists, and other intellectuals carried out by the Pakistani Army and local collaborators (Al-Badr militia) in the final days of the war, most notoriously on 14 December 1971, just two days before the surrender. The exhibit displays photographs, personal belongings, and biographical documents of murdered intellectuals, presenting this targeted intellectual genocide as a calculated attempt to cripple the new nation's leadership capacity. The 'Gallery of Heroes' is among the most emotionally powerful and frequently cited sections of the museum by visitors.",https://humbo.com/bd/liberation-war-museum
993,Original Declaration of Independence Documents,30,Gallery 3 — Resistance and Declaration,26 March 1971 CE,Chittagong (Kalurghat radio station) and Dhaka,83,Liberation War Museum Trust / government archives,"Documents and materials relating to the Declaration of Independence of Bangladesh, proclaimed on 26 March 1971 following the Pakistani Army's crackdown (Operation Searchlight) launched the previous night. The collection includes materials relating to Sheikh Mujibur Rahman's declaration and Major Ziaur Rahman's radio broadcast of the declaration from the Kalurghat radio transmission center near Chittagong. These documents mark the formal beginning of Bangladesh's nine-month armed struggle for independence and are among the most historically significant items in the museum's collection of over 21,000 artifacts.",https://en.banglapedia.org/index.php/Liberation_War_Museum
994,Genocide Documentation — 25 March 1971 (Operation Searchlight),30,Gallery 3 — Genocide and Resistance,25–26 March 1971 CE,"Dhaka (University of Dhaka, Old Dhaka, Rajarbagh)",41,Liberation War Museum Trust / journalist and survivor donations,"Photographic and documentary evidence of the genocide launched by the Pakistani Army on the night of 25 March 1971 under the codename Operation Searchlight, which targeted the University of Dhaka (killing students and faculty including at Jagannath Hall and Iqbal Hall), the Rajarbagh Police Line, and predominantly Hindu neighborhoods of Old Dhaka. The exhibit presents photographs taken by journalists who managed to document the attacks, newspaper reports from the period, and survivor testimonies. This material forms the evidentiary foundation for understanding the scale and systematic nature of the violence that triggered the full Liberation War.",https://en.banglapedia.org/index.php/Liberation_War_Museum
995,Refugee Crisis Photographs — 1971 Exodus to India,30,Gallery 3 — Refugee Crisis,April–December 1971 CE,"Border regions, India-Bangladesh frontier and refugee camps",41,International press archives / donated photographs,"Photographs documenting the massive refugee crisis of 1971, in which an estimated 10 million Bengalis fled across the border into India to escape the violence of the war, creating one of the largest refugee movements in modern history. The images show refugee columns on roads, makeshift camps in West Bengal, Tripura, and Assam, and the humanitarian response from international organizations and the Indian government. This refugee crisis became a major factor in galvanizing international attention and eventually Indian military intervention in December 1971, contributing directly to Bangladesh's liberation.",https://www.bangladesh.com/attractions/museums/liberation-war-museum/
996,Weapons of the Liberation War — Mukti Bahini Arms,30,Resistance and Combat Gallery,1971 CE,Various battle sites across Bangladesh,41,Donated by veteran freedom fighters and their families,"A collection of weapons used by the Mukti Bahini (the Bangladeshi guerrilla and regular forces) during the Liberation War, including rifles, grenades, and improvised weapons used by the resistance forces who fought a combination of guerrilla and conventional warfare against the Pakistani Army across the nine sectors of the war. The weapons are displayed alongside maps of the sector organization of the resistance and information on the formation and command structure of the Mukti Bahini, which grew from scattered initial resistance by EPR and Bengal Regiment defectors into an organized force that, with Indian military support, achieved victory in December 1971.",https://www.historyhit.com/locations/the-liberation-war-museum/
997,Personal Belongings of Freedom Fighters and Victims,30,Galleries 4–6 — Personal Histories,1971 CE,Various locations across Bangladesh,41,Donated by families of freedom fighters and war victims,"Personal belongings of freedom fighters and victims of the 1971 war, including clothing, identification cards, letters, and personal effects, collected through the museum's crowd-funded, citizen-led collection effort since its founding. As 'the outcome of a citizens' effort,' the museum has relied on the general public coming forward with artifacts, including personal belongings and even human remains, to build its collection of more than 21,000 items. These deeply personal objects humanize the statistical scale of the war's casualties (estimated at up to three million deaths) by connecting visitors to specific individuals and families affected by the conflict.",https://en.wikipedia.org/wiki/Liberation_War_Museum
998,Surrender Document Facsimile — 16 December 1971,30,Gallery 6 — Victory,16 December 1971 CE,"Race Course Ground (now Suhrawardy Udyan), Dhaka",302,Liberation War Museum Trust / government archives,"A facsimile of the Instrument of Surrender signed on 16 December 1971 at the Race Course Ground in Dhaka, by which Lieutenant General A. A. K. Niazi of the Pakistani Eastern Command surrendered to the Joint Command of Bangladesh and Indian forces under Lieutenant General Jagjit Singh Aurora. This document marks the formal end of the nine-month Liberation War and the birth of independent Bangladesh. The surrender is commemorated annually as Victory Day (Bijoy Dibosh) on 16 December, and its documentation forms the climactic conclusion to the museum's chronological gallery sequence, which begins with Bengali heritage and colonial-era resistance and ends with this moment of national triumph.",https://tourtoday.com.bd/liberation-war-museum-dhaka/
999,Pre-1971 Heritage Gallery — Bengali Resistance to British Rule,30,Gallery 1 — Heritage and Colonial Resistance,18th–20th century CE (pre-independence period),Bengal (under British colonial rule),41,Liberation War Museum Trust collection,"Materials from the museum's first gallery, which exhibits the heritage of the Bengali people and their historical struggle against British colonial rule, providing essential historical context for the 1971 war. This gallery situates the Liberation War within a longer narrative of Bengali political resistance, beginning with opposition to British rule and continuing through the partition of 1947 and the subsequent grievances under Pakistani rule (1947–1971) documented in Gallery 2. By beginning the museum's narrative arc more than two centuries before 1971, the curators position the Liberation War as the culmination of a long historical process of Bengali political self-assertion.",https://tourtoday.com.bd/liberation-war-museum-dhaka/
1000,Library and Study Center Archive — War Documentation,30,Library and Study Center,1971 CE – present,"Liberation War Museum, Agargaon, Dhaka",303,Liberation War Museum Trust research program,"The Liberation War Museum's library and study center, containing books, magazines, periodicals, and other research materials about the Bangladesh Liberation War and the broader history of Bangladesh. The library supports the museum's educational mission and serves researchers, students, and the general public seeking deeper engagement with the war's history beyond the exhibition galleries. The museum also operates a mobile mini-museum that travels to schools across different regions of Bangladesh, extending its educational reach to communities and young people who may not be able to visit the Dhaka facility, fulfilling the institution's mission to ensure that the memory of the Liberation War is transmitted to future generations.",https://royalbengaltours.com/destinations/museums-of-bangladesh/
1001,Nakshi Kantha — Embroidered Quilt (Lokayon Collection),31,Folk Textile Gallery,Late 19th – early 20th century CE,Mymensingh / Faridpur region,271,Lokayon Museum collection / donations,"A nakshi kantha from the Lokayon Museum collection — one of the museum's examples of Bangladesh's most celebrated folk textile art. The word 'lokayon' itself means 'folk world' or 'folk culture' in Bengali, and the museum's mission is the systematic collection and preservation of objects from the material culture of ordinary Bengali life. This kantha exemplifies that mission: a quilt made from old sari cloth by a rural woman, transformed through embroidery into a work of art. The patterns include a central sun motif surrounded by floral and animal borders. Lokayon Museum collects folk objects that would otherwise be discarded or lost, preserving the creative heritage of ordinary people alongside the monumental heritage of elite culture.",
1002,Folk Pottery — Kumor Community Collection,31,Folk Craft Gallery,19th–20th century CE,Various regions of Bangladesh,41,Donated by kumor (potter) communities / museum field collection,"A collection of folk pottery from the kumor (potter) communities of Bangladesh, including ritual objects (mangal ghat — auspicious water pots, Lakshmi and Shiva figurines), household vessels (kalshi, handi, patil), and decorative pieces (painted clay horses and elephants). The kumor caste has been producing pottery in Bengal for thousands of years, maintaining techniques and forms with ancient continuity while adapting to changing markets and tastes. Lokayon Museum's pottery collection represents multiple regional traditions: the red-washed pottery of Comilla, the black pottery of Rajshahi, and the white-painted pieces of Sylhet. The collection documents a craft tradition under severe economic pressure from factory-made alternatives.",
1003,Rickshaw and Transport Art Collection,31,Urban Folk Art Gallery,20th century CE,Dhaka and other cities of Bangladesh,41,Museum field collection / donations,"A collection of decorated transport objects representing Bangladesh's unique tradition of painted and decorated public vehicles, including rickshaw back panels, hand-pulled cart decorations, and cycle van adornments. Rickshaw art is Bangladesh's most distinctive urban folk art form, transforming functional vehicles into mobile artworks through bright enamel painting, tinsel decorations, and narrative imagery. The collection includes panels depicting landscapes, animals, film stars, historical events, and religious imagery. Lokayon Museum collects rickshaw art as a legitimate and important folk art tradition that captures the intersection of urban culture, folk imagery, and popular aesthetics in Bangladesh's cities.",
1004,Agricultural and Domestic Tools — Rural Life Collection,31,Rural Life Gallery,19th–20th century CE,Various regions of Bangladesh,41,Museum field collection from rural Bangladesh,"A comprehensive collection of agricultural and domestic tools representing the material culture of rural life in Bangladesh, including wooden ploughs (hal), iron sickles (kaste), bamboo winnowing trays (kula), paddy-husking mortars (dheki), spinning wheels (chakra), and weaving implements. These are the tools of everyday life and labor in the Bengali village — the instruments with which rice was grown and processed, cloth was woven, and households were maintained. The Lokayon Museum collects these 'ordinary' objects with the same care as more prestigious art objects, recognizing that the history of ordinary people is as important as the history of kings and aristocrats.",
1005,Traditional Games and Toys — Children's Folk Culture,31,Folk Culture Gallery,19th–20th century CE,Various regions of Bangladesh,41,Museum field collection / donations,"A collection of traditional children's games and toys from rural and urban Bangladesh, including clay dolls (mati putul), wooden spinning tops (lattu), bamboo kites (ghuri), marbles (golok), a bamboo hobby horse, and cloth rag dolls. Traditional Bengali children's toys are a significant but often overlooked category of folk craft, made by parents and toy-makers using locally available materials. The collection documents the play culture of Bengali children before the dominance of plastic factory toys and preserves evidence of the skills and imagination involved in handmade toy production. Several of the toys are associated with specific festivals — kites with Sakrain, marbles with the monsoon season.",
1006,Fishing Equipment — Inland Water Folk Culture,31,Rural Life Gallery,Traditional (20th century),Rivers and wetlands of Bangladesh,41,Donated by fishing communities / museum field collection,"Traditional fishing equipment from the inland water fishing communities of Bangladesh, including a polo (conical bamboo trap), a chaluni (cylindrical wicker trap), a bana (bamboo basket trap), a jhaki jal (cast net), and a traditional baited line. Bangladesh's extensive network of rivers, haors, beels, and floodplains supports a vast inland fishing tradition, and the tools used are adapted to the specific conditions of each water body. The Lokayon Museum collects fishing equipment as evidence of the traditional ecological knowledge of Bangladesh's fishing communities — knowledge that is increasingly under threat from overfishing and habitat loss.",
1007,Folk Music and Performance Artifacts,31,Folk Performance Gallery,19th–20th century CE,Various regions of Bangladesh,41,Donated by folk artists / museum field collection,"Traditional folk musical instruments and performance artifacts from Bangladesh's diverse folk music traditions, including instruments associated with jatra (folk theater), kirtan (devotional music), baul (mystic song), and bhatiyali (boatmen's songs). The collection includes a khol (barrel drum for kirtan), a jhanjh (finger cymbals), a sarod-type bowed lute (sarangi), and a bamboo pungi (snake-charmer's instrument). Folk performance is central to the cultural life of rural Bangladesh, marking festivals, life events, and seasonal celebrations. The Lokayon Museum documents these performance traditions as living heritage and collects their material artifacts to preserve evidence of their practice.",
1008,Traditional Ornaments and Body Decoration,31,Folk Craft Gallery,19th–20th century CE,Various regions of Bangladesh,41,Donated by communities / museum field collection,"A collection of traditional ornaments and body decoration items from different communities across Bangladesh, including the distinctive conch-shell bangles (shakha) and red lacquer bangles (pola) of Bengali Hindu married women, the glass bangle sets of Muslim women, silver anklets, nose rings of different regional styles, and the shell and bead ornaments of tribal communities. The collection represents the diversity of body adornment traditions across Bangladesh's social and religious communities and documents the craft skills of the specialist artisans — shankhari (conch-shell craftsmen), mali (garland makers), and silver-smiths — who produce these objects. The shakha-pola bangle set is among the most culturally loaded objects in Bengali folk culture, inseparable from the identity of a married Hindu woman.",
1009,Photograph Album — Mohammad Ali with World Leaders,11,Main Memorial Gallery,1953–1957 CE,Bogra / international diplomatic venues,304,Nawab family donation,"A bound photograph album documenting Mohammad Ali of Bogra (Mohammad Ali Bogra, 1909–1963) — Prime Minister of Pakistan from 1953 to 1955 — in meetings with world leaders including Queen Elizabeth II, U.S. President John F. Kennedy, and Indian Prime Minister Jawaharlal Nehru. Mohammad Ali Bogra was the grandson of Nawab Altaf Ali and a member of the prominent Nawab family of Bogra. His premiership came during a critical early period of Pakistani statehood, and his international diplomatic engagements placed Bogra's Nawab family at the center of South Asian and global politics in the 1950s. The album is one of the centerpiece exhibits of the museum, illustrating the family's national and international significance.",
1010,East India Company Period Coins,11,Numismatic Gallery,18th–19th century CE (East India Company period),Bogra Nawab family estate,41,Nawab family collection,"A collection of coins dating to the East India Company period (1757–1858), preserved as part of the Nawab family's historical collection at the Palace Museum. The coins include Company-issued sicca rupees and subsidiary copper coinage that circulated in Bengal during the era when the Bogra Nawab family's predecessors were establishing their position as a prominent zamindari and administrative family in northern Bengal. The coin collection reflects the family's nearly two-century continuous presence in Bogra and their participation in the colonial-era economy as substantial landholders and, later, government officials.",
1011,Antique Firearms — Nawab Family Collection,11,Heritage Arms Gallery,19th century CE,"Nawab Palace, Bogra",41,Nawab family donation,"A collection of antique guns from the Nawab family's historical armory, including flintlock and percussion-cap firearms typical of 19th-century Bengal zamindari households. As a prominent landowning family with administrative responsibilities, the Bogra Nawabs maintained arms for personal security, hunting, and ceremonial display. The firearms collection is displayed in the historic Nawab Palace alongside other artifacts of the family's elite domestic life, illustrating the material culture of a northern Bengal nawabi household across multiple generations leading up to Mohammad Ali Bogra's 20th-century political prominence.",
1012,Rare Book Collection — 100 Years Old,11,Library Heritage Gallery,Late 19th – early 20th century CE,"Nawab Palace library, Bogra",41,Nawab family donation,"A collection of rare books, approximately 100 years old, preserved from the personal library of the Bogra Nawab family. The collection includes works of Bengali and English literature, religious texts, and reference works that reflect the educated, cosmopolitan character of the Nawab household. The family's commitment to education and literary culture is reflected in this collection, which provided the intellectual environment in which Mohammad Ali Bogra and other family members were raised before later generations pursued careers in national and international politics, administration, and diplomacy.",
